Id_Pelicula;Titulo_original;Genero_Pelicula
114;Venom;"Science Fiction, Action"
115;The Prestige;"Drama, Mystery, Science Fiction"
116;I Am Legend;"Drama, Science Fiction, Thriller"
117;Saving Private Ryan;"Drama, History, War"
118;Captain Marvel;"Action, Adventure, Science Fiction"
119;Baby Driver;"Action, Crime"
120;Schindler's List;"Drama, History, War"
121;Return of the Jedi;"Adventure, Action, Science Fiction"
122;Spider-Man: Far From Home;"Action, Adventure, Science Fiction"
123;Skyfall;"Action, Adventure, Thriller"
124;Gravity;"Science Fiction, Thriller, Drama"
125;X-Men: Days of Future Past;"Action, Adventure, Science Fiction"
126;Ready Player One;"Adventure, Action, Science Fiction"
127;World War Z;"Action, Drama, Horror, Science Fiction, Thriller"
128;Catch Me If You Can;"Drama, Crime"
129;Rogue One: A Star Wars Story;"Action, Adventure, Science Fiction"
130;Star Wars: The Last Jedi;"Adventure, Action, Science Fiction"
131;Man of Steel;"Action, Adventure, Science Fiction"
132;Despicable Me;"Family, Animation, Comedy"
133;Spider-Man 2;"Action, Adventure, Fantasy"
134;Spider-Man: Into the Spider-Verse;"Action, Adventure, Animation, Science Fiction"
135;Charlie and the Chocolate Factory;"Adventure, Comedy, Family, Fantasy"
136;Whiplash;"Drama, Music"
137;The Departed;"Drama, Thriller, Crime"
138;The Grand Budapest Hotel;"Comedy, Drama"
139;Toy Story 3;"Animation, Family, Comedy"
140;Memento;"Mystery, Thriller"
141;Eternal Sunshine of the Spotless Mind;"Science Fiction, Drama, Romance"
142;LÃ©on: The Professional;"Crime, Drama, Action"
143;Black Swan;"Drama, Thriller, Horror"
144;V for Vendetta;"Action, Thriller, Science Fiction"
145;Star Wars: Episode I - The Phantom Menace;"Adventure, Action, Science Fiction"
146;Her;"Romance, Science Fiction, Drama"
147;Pirates of the Caribbean: At World's End;"Adventure, Fantasy, Action"
148;The Hobbit: The Battle of the Five Armies;"Action, Adventure, Fantasy"
149;Reservoir Dogs;"Crime, Thriller"
150;The Hateful Eight;"Drama, Mystery, Western"
151;Alien;"Horror, Science Fiction"
152;Sherlock Holmes;"Action, Adventure, Crime, Mystery"
153;Alice in Wonderland;"Family, Fantasy, Adventure"
154;Pirates of the Caribbean: On Stranger Tides;"Adventure, Action, Fantasy"
155;Spider-Man 3;"Fantasy, Action, Adventure"
156;A Quiet Place;"Horror, Drama, Science Fiction"
157;Aquaman;"Action, Adventure, Fantasy"
158;Kill Bill: Vol. 2;"Action, Crime, Thriller"
159;Cars;"Animation, Adventure, Comedy, Family"
160;Toy Story 2;"Animation, Comedy, Family"
161;Men in Black;"Action, Adventure, Comedy, Science Fiction"
162;Edge of Tomorrow;"Action, Science Fiction"
164;Jumanji: Welcome to the Jungle;"Adventure, Action, Comedy, Fantasy"
165;Blade Runner;"Science Fiction, Drama, Thriller"
166;Star Wars: Episode III - Revenge of the Sith;"Adventure, Action, Science Fiction"
167;Hacksaw Ridge;"Drama, History, War"
168;Twilight;"Fantasy, Drama, Romance"
170;Ant-Man and the Wasp;"Action, Adventure, Science Fiction"
171;Maleficent;"Fantasy, Adventure, Action, Family, Romance"
172;Passengers;"Drama, Romance, Science Fiction"
173;Life of Pi;"Adventure, Drama"
174;Ex Machina;"Drama, Science Fiction"
175;The Amazing Spider-Man 2;"Action, Adventure, Fantasy"
176;Blade Runner 2049;"Science Fiction, Drama"
177;Ice Age;"Animation, Comedy, Family, Adventure"
178;Star Wars: Episode II - Attack of the Clones;"Adventure, Action, Science Fiction"
179;Justice League;"Action, Adventure, Science Fiction"
180;The Hobbit: The Desolation of Smaug;"Fantasy, Adventure, Action"
181;Once Upon a Timeâ€¦ in Hollywood;"Comedy, Drama, Thriller"
182;Life Is Beautiful;"Comedy, Drama"
183;X-Men: Apocalypse;"Action, Adventure, Science Fiction, Fantasy"
184;Birdman or (The Unexpected Virtue of Ignorance);"Drama, Comedy"
185;Divergent;"Action, Adventure, Science Fiction"
186;American Sniper;"War, Action"
187;How to Train Your Dragon;"Fantasy, Adventure, Animation, Family"
188;Incredibles 2;"Action, Adventure, Animation, Family"
189;Edward Scissorhands;"Fantasy, Drama, Romance"
190;John Wick: Chapter 2;"Action, Thriller, Crime"
191;X-Men: First Class;"Action, Science Fiction, Adventure"
192;A Clockwork Orange;"Science Fiction, Drama"
193;The Curious Case of Benjamin Button;"Drama, Fantasy, Romance"
194;The Terminator;"Action, Thriller, Science Fiction"
195;Back to the Future Part II;"Adventure, Comedy, Science Fiction"
196;Terminator 2: Judgment Day;"Action, Thriller, Science Fiction"
197;GoodFellas;"Drama, Crime"
198;Drive;"Drama, Thriller, Crime"
199;Pacific Rim;"Action, Science Fiction, Adventure"
200;The Hunger Games: Mockingjay - Part 2;"Action, Adventure, Science Fiction"
201;Wreck-It Ralph;"Family, Animation, Comedy, Adventure"
202;Donnie Darko;"Fantasy, Drama, Mystery"
203;Ted;"Comedy, Fantasy"
204;The Great Gatsby;"Drama, Romance"
205;Moana;"Adventure, Comedy, Family, Animation"
206;The Shape of Water;"Drama, Fantasy, Romance"
207;Raiders of the Lost Ark;"Adventure, Action"
208;Zombieland;"Comedy, Horror"
209;Finding Dory;"Adventure, Animation, Comedy, Family"
210;Me Before You;"Drama, Romance"
211;1917;"War, History, Thriller"
212;Call Me by Your Name;"Romance, Drama"
213;Silver Linings Playbook;"Drama, Comedy, Romance"
214;Shrek 2;"Animation, Family, Comedy, Fantasy, Adventure"
215;2012;"Action, Adventure, Science Fiction"
216;The Godfather Part II;"Drama, Crime"
217;American Beauty;Drama
218;Prometheus;"Science Fiction, Adventure, Mystery"
219;The Social Network;Drama
220;Pirates of the Caribbean: Dead Men Tell No Tales;"Adventure, Action, Fantasy"
221;Knives Out;"Comedy, Crime, Mystery"
222;Good Will Hunting;Drama
223;Fifty Shades of Grey;"Drama, Romance, Thriller"
224;The Devil Wears Prada;"Comedy, Drama, Romance"
225;Taxi Driver;"Crime, Drama"
226;A Star Is Born;"Music, Drama, Romance"
227;Fury;"War, Drama, Action"
228;The Incredible Hulk;"Science Fiction, Action, Adventure"
229;Kick-Ass;"Action, Crime"
230;"I, Robot";"Action, Science Fiction"
231;No Country for Old Men;"Crime, Drama, Thriller"
232;Rise of the Planet of the Apes;"Thriller, Action, Drama, Science Fiction"
233;Ocean's Eleven;"Thriller, Crime"
234;The Sixth Sense;"Mystery, Thriller, Drama"
235;AmÃ©lie;"Comedy, Romance"
236;Scarface;"Action, Crime, Drama"
237;Prisoners;"Drama, Thriller, Crime"
238;American History X;Drama
239;The Conjuring;"Horror, Thriller"
240;The Fault in Our Stars;"Romance, Drama"
241;The Notebook;"Romance, Drama"
242;12 Years a Slave;"Drama, History"
243;2001: A Space Odyssey;"Science Fiction, Mystery, Adventure"
244;In Time;"Action, Thriller, Science Fiction"
245;Aladdin;"Animation, Family, Adventure, Fantasy, Romance"
246;Green Book;"Drama, Comedy"
247;Tangled;"Animation, Family"
248;Cast Away;"Adventure, Drama"
249;X-Men;"Adventure, Action, Science Fiction"
250;Despicable Me 2;"Animation, Comedy, Family"
251;Kung Fu Panda;"Action, Adventure, Animation, Family, Comedy"
252;Transformers;"Adventure, Science Fiction, Action"
253;E.T. the Extra-Terrestrial;"Science Fiction, Adventure, Family, Fantasy"
254;Taken;"Action, Thriller"
255;Jurassic World: Fallen Kingdom;"Action, Adventure, Science Fiction, Thriller"
256;The Big Lebowski;"Comedy, Crime"
257;Dawn of the Planet of the Apes;"Science Fiction, Action, Drama, Thriller"
258;Dead Poets Society;Drama
259;Your Name.;"Romance, Animation, Drama"
260;Fantastic Beasts: The Crimes of Grindelwald;"Fantasy, Adventure, Family"
261;Die Hard;"Action, Thriller"
262;Now You See Me 2;"Crime, Thriller, Action, Mystery"
263;Home Alone;"Comedy, Family"
264;The Matrix Reloaded;"Adventure, Action, Thriller, Science Fiction"
265;Madagascar;"Family, Animation, Adventure, Comedy"
266;The Theory of Everything;"Drama, Romance"
267;Nightcrawler;"Crime, Drama, Thriller"
268;Fast & Furious 6;"Action, Thriller, Crime"
269;Oblivion;"Action, Science Fiction, Adventure, Mystery"
270;Bruce Almighty;"Fantasy, Comedy"
271;Gran Torino;Drama
272;Furious 7;"Action, Thriller, Crime"
273;Minions;"Family, Animation, Adventure, Comedy"
274;Casino Royale;"Adventure, Action, Thriller"
275;The Fifth Element;"Adventure, Fantasy, Action, Thriller, Science Fiction"
276;Slumdog Millionaire;"Drama, Romance"
277;Monsters University;"Animation, Family"
278;Limitless;"Thriller, Mystery, Science Fiction"
279;Spectre;"Action, Adventure, Thriller"
280;The Perks of Being a Wallflower;Drama
281;Pan's Labyrinth;"Fantasy, Drama, War"
282;Jumanji;"Adventure, Fantasy, Family"
283;Avatar: The Way of Water;"Science Fiction, Adventure, Action"
284;"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe";"Adventure, Family, Fantasy"
285;X-Men Origins: Wolverine;"Adventure, Action, Thriller, Science Fiction"
286;American Psycho;"Thriller, Drama, Crime"
287;The Hangover Part II;Comedy
288;Sherlock Holmes: A Game of Shadows;"Adventure, Action, Crime, Mystery"
289;The Fate of the Furious;"Action, Crime, Thriller"
290;John Wick: Chapter 3 - Parabellum;"Action, Thriller, Crime"
291;Kong: Skull Island;"Action, Adventure, Fantasy"
292;Back to the Future Part III;"Adventure, Comedy, Science Fiction"
293;Men in Black 3;"Action, Comedy, Science Fiction"
294;Maze Runner: The Scorch Trials;"Science Fiction, Action, Thriller, Adventure"
295;Full Metal Jacket;"Drama, War"
296;Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn);"Action, Crime"
297;One Flew Over the Cuckoo's Nest;Drama
298;21 Jump Street;"Action, Comedy, Crime"
299;Looper;"Action, Thriller, Science Fiction"
300;The Usual Suspects;"Drama, Crime, Thriller"
301;Zodiac;"Crime, Drama, Mystery, Thriller"
302;Mr. & Mrs. Smith;"Action, Comedy, Drama, Thriller"
303;Kingsman: The Golden Circle;"Action, Adventure, Comedy"
304;Jaws;"Horror, Thriller, Adventure"
305;Night at the Museum;"Action, Adventure, Comedy, Family, Fantasy"
306;Insurgent;"Action, Adventure, Science Fiction, Thriller"
307;A Beautiful Mind;"Drama, Romance"
308;Soul;"Animation, Family, Comedy, Fantasy, Drama"
310;Dune (2024);"Science Fiction, Adventure"
311;"Three Billboards Outside Ebbing, Missouri";"Crime, Drama"
312;X2;"Adventure, Action, Science Fiction"
313;The Mask;"Romance, Comedy, Crime, Fantasy"
314;Miss Peregrine's Home for Peculiar Children;"Fantasy, Adventure"
315;Troy;"Adventure, History, War, Action"
316;(500) Days of Summer;"Comedy, Drama, Romance"
317;Braveheart;"Action, Drama, History, War"
319;Star Trek;"Science Fiction, Action, Adventure"
320;Indiana Jones and the Last Crusade;"Adventure, Action"
321;Black Widow;"Action, Adventure, Science Fiction"
322;Psycho;"Horror, Drama, Thriller"
324;Murder on the Orient Express;"Mystery, Drama, Crime"
325;Men in Black II;"Action, Adventure, Comedy, Science Fiction"
326;Bird Box;"Horror, Thriller, Drama"
327;Mission: Impossible - Ghost Protocol;"Action, Thriller, Adventure"
328;The Fast and the Furious;"Action, Crime, Thriller"
329;Zack Snyder's Justice League;"Action, Adventure, Fantasy"
330;Venom: Let There Be Carnage;"Science Fiction, Action, Adventure"
331;Requiem for a Dream;"Crime, Drama"
332;The Pursuit of Happyness;Drama
333;The Matrix Revolutions;"Adventure, Action, Thriller, Science Fiction"
334;Toy Story 4;"Family, Adventure, Animation, Comedy, Fantasy"
335;Ice Age: The Meltdown;"Animation, Family, Comedy, Adventure"
336;Godzilla vs. Kong;"Action, Science Fiction, Thriller"
337;Frozen II;"Family, Animation, Adventure, Comedy, Fantasy"
338;Star Wars: The Rise of Skywalker;"Adventure, Action, Science Fiction"
339;Into the Wild;"Adventure, Drama"
340;Trainspotting;"Drama, Crime"
341;X-Men: The Last Stand;"Adventure, Action, Science Fiction, Thriller"
342;The Wolverine;"Action, Science Fiction, Adventure, Fantasy"
343;Hidden Figures;"Drama, History"
344;Hancock;"Fantasy, Action"
345;How to Train Your Dragon 2;"Fantasy, Action, Adventure, Animation, Comedy, Family"
346;Mulan;"Animation, Family, Adventure"
347;Snowpiercer;"Action, Science Fiction, Drama"
348;Sonic the Hedgehog;"Action, Science Fiction, Comedy, Family"
349;Independence Day;"Action, Adventure, Science Fiction"
350;Million Dollar Baby;Drama
351;The Greatest Showman;Drama
352;Shazam!;"Action, Comedy, Fantasy"
353;Fantastic Four;"Action, Adventure, Fantasy, Science Fiction"
354;Aliens;"Action, Thriller, Science Fiction"
355;Tenet;"Action, Thriller, Science Fiction"
356;Jojo Rabbit;"Comedy, War, Drama"
357;District 9;Science Fiction
358;Howl's Moving Castle;"Fantasy, Animation, Adventure"
359;Room;"Drama, Thriller"
360;Home Alone 2: Lost in New York;"Comedy, Family, Adventure"
361;The Da Vinci Code;"Thriller, Mystery"
362;The Bourne Identity;"Action, Drama, Mystery, Thriller"
363;The Twilight Saga: New Moon;"Adventure, Fantasy, Drama, Romance"
364;Encanto;"Animation, Comedy, Family, Fantasy"
365;Unbreakable;"Thriller, Drama, Mystery"
366;Star Trek Into Darkness;"Action, Adventure, Science Fiction"
367;The Batman;"Crime, Mystery, Thriller"
368;A Bug's Life;"Adventure, Animation, Comedy, Family"
369;xXx: Return of Xander Cage;"Action, Adventure, Crime"
370;Cruella;"Comedy, Crime"
371;Indiana Jones and the Temple of Doom;"Adventure, Action"
372;Watchmen;"Action, Mystery, Science Fiction"
373;The Nightmare Before Christmas;"Fantasy, Animation, Family"
374;Shang-Chi and the Legend of the Ten Rings;"Action, Adventure, Fantasy"
375;Alita: Battle Angel;"Action, Science Fiction, Adventure"
376;365 Days;"Romance, Drama"
377;Godzilla;"Action, Drama, Science Fiction"
378;The Twilight Saga: Breaking Dawn - Part 2;"Adventure, Fantasy, Drama, Romance"
379;The Pianist;"Drama, War"
380;Saw;"Horror, Mystery, Crime"
381;The Mummy;"Adventure, Action, Fantasy"
382;The Big Short;"Comedy, Drama"
383;Shrek the Third;"Fantasy, Adventure, Animation, Comedy, Family"
384;Snatch;"Crime, Comedy"
385;We're the Millers;"Comedy, Crime"
386;The Twilight Saga: Breaking Dawn - Part 1;"Adventure, Fantasy, Romance"
387;The Twilight Saga: Eclipse;"Adventure, Fantasy, Drama, Romance"
388;Elysium;"Science Fiction, Action, Drama, Thriller"
389;Corpse Bride;"Romance, Fantasy, Animation"
390;Mission: Impossible - Rogue Nation;"Action, Adventure"
391;The Equalizer;"Thriller, Action, Crime"
392;The King's Speech;"Drama, History"
393;Ghostbusters;"Comedy, Fantasy"
394;The Hangover Part III;Comedy
395;Mission: Impossible;"Adventure, Action, Thriller"
396;To All the Boys I've Loved Before;"Comedy, Romance"
397;Hotel Transylvania;"Animation, Comedy, Family, Fantasy"
398;San Andreas;"Action, Drama, Thriller"
399;War for the Planet of the Apes;"Drama, Science Fiction, War"
400;It Chapter Two;"Horror, Fantasy"
401;Annihilation;"Science Fiction, Horror"
402;Minority Report;"Action, Thriller, Science Fiction, Mystery"
403;Dallas Buyers Club;"Drama, History"
404;Doctor Strange in the Multiverse of Madness;"Fantasy, Action, Adventure"
405;Transformers: Revenge of the Fallen;"Science Fiction, Action, Adventure"
406;Jumanji: The Next Level;"Adventure, Comedy, Fantasy"
407;Mean Girls;Comedy
408;Solo: A Star Wars Story;"Science Fiction, Adventure, Action"
409;Terminator Genisys;"Science Fiction, Action, Thriller, Adventure"
410;The Purge;"Science Fiction, Horror, Thriller"
411;Lady Bird;"Drama, Comedy"
412;Sicario;"Action, Crime, Thriller"
413;Wonder Woman 1984;"Action, Adventure, Fantasy"
414;Alien: Covenant;"Science Fiction, Horror, Mystery"
415;Glass;"Thriller, Drama, Science Fiction"
416;Oldboy;"Drama, Thriller, Mystery, Action"
417;After;"Romance, Drama"
418;About Time;"Drama, Romance, Fantasy"
419;Ocean's Eight;"Crime, Comedy, Action"
420;"Crazy, Stupid, Love.";"Comedy, Drama, Romance"
421;The Conjuring 2;"Horror, Thriller"
422;Spotlight;"Drama, History"
423;Shaun of the Dead;"Horror, Comedy"
424;"The Good, the Bad and the Ugly";Western
425;Argo;"Drama, Thriller"
426;The Lost World: Jurassic Park;"Adventure, Action, Science Fiction"
427;Transformers: Dark of the Moon;"Action, Science Fiction, Adventure"
428;War of the Worlds;"Adventure, Thriller, Science Fiction"
429;Top Gun;"Romance, Drama, Action"
430;Source Code;"Thriller, Science Fiction, Mystery"
431;The Suicide Squad;"Action, Comedy, Adventure"
432;Ice Age: Dawn of the Dinosaurs;"Animation, Comedy, Family, Adventure"
433;Twelve Monkeys;"Science Fiction, Thriller, Mystery"
434;The Jungle Book;"Family, Adventure, Drama, Fantasy"
435;The Secret Life of Pets;"Adventure, Comedy, Animation, Family"
436;Free Guy;"Comedy, Adventure, Science Fiction"
437;12 Angry Men;Drama
438;Indiana Jones and the Kingdom of the Crystal Skull;"Adventure, Action"
439;Luca;"Animation, Comedy, Fantasy, Adventure, Family"
440;Ghost in the Shell;"Science Fiction, Drama, Action"
441;Transformers: Age of Extinction;"Science Fiction, Action, Adventure"
442;Fast Five;"Action, Thriller, Crime"
443;Real Steel;"Action, Science Fiction, Drama"
444;Bad Boys for Life;"Thriller, Action, Crime"
445;Top Gun: Maverick;"Action, Drama"
446;Baywatch;"Comedy, Action, Crime"
447;Sin City;"Thriller, Action, Crime"
450;Fifty Shades Freed;"Drama, Romance"
451;Snow White and the Huntsman;"Adventure, Fantasy, Drama"
452;Eternals;"Science Fiction, Action, Adventure"
453;Apocalypse Now;"Drama, War"
454;The Breakfast Club;"Comedy, Drama"
455;22 Jump Street;"Crime, Comedy, Action"
456;Sing;"Animation, Comedy, Family, Music"
457;Chappie;"Crime, Action, Science Fiction"
458;The Day After Tomorrow;"Action, Adventure, Science Fiction, Thriller"
459;The Simpsons Movie;"Animation, Comedy, Family"
460;Wonder;"Drama, Family"
461;Friends with Benefits;"Romance, Comedy"
462;Pride & Prejudice;"Drama, Romance"
463;10 Things I Hate About You;"Comedy, Romance, Drama"
464;Fantastic Four: Rise of the Silver Surfer;"Adventure, Fantasy, Action, Thriller"
465;10 Cloverfield Lane;"Thriller, Science Fiction, Drama, Horror"
466;Pretty Woman;"Comedy, Romance"
467;Assassin's Creed;"Action, Adventure, Science Fiction"
468;Focus;"Romance, Comedy, Crime"
469;Armageddon;"Action, Thriller, Science Fiction, Adventure"
470;Quantum of Solace;"Adventure, Action, Thriller, Crime"
471;Tomb Raider;"Action, Adventure, Fantasy"
472;The Little Mermaid;"Animation, Family, Fantasy"
473;King Kong;"Adventure, Drama, Action"
474;The Cabin in the Woods;"Horror, Fantasy"
475;Fargo;"Crime, Drama, Thriller"
476;Predator;"Science Fiction, Action, Adventure, Thriller"
477;Fifty Shades Darker;"Drama, Romance"
478;Groundhog Day;"Romance, Fantasy, Drama, Comedy"
479;The Exorcist;Horror
481;The Lego Movie;"Animation, Family, Adventure, Comedy, Fantasy"
482;The Nice Guys;"Comedy, Crime, Action"
483;Princess Mononoke;"Adventure, Fantasy, Animation"
484;Don't Look Up;"Science Fiction, Comedy, Drama"
485;The Expendables;"Thriller, Adventure, Action"
486;Nocturnal Animals;"Drama, Thriller"
487;Scott Pilgrim vs. the World;"Action, Comedy, Romance"
488;Batman;"Fantasy, Action, Crime"
489;Maze Runner: The Death Cure;"Science Fiction, Action, Adventure, Thriller"
490;Rocky;"Drama, Romance"
491;The Bourne Ultimatum;"Action, Drama, Mystery, Thriller"
492;American Pie;"Comedy, Romance"
493;My Neighbor Totoro;"Fantasy, Animation, Family"
494;Cars 2;"Animation, Family, Adventure, Comedy"
495;The Secret Life of Walter Mitty;"Adventure, Comedy, Drama, Fantasy"
496;Pixels;"Action, Comedy, Science Fiction"
497;Ice Age: Continental Drift;"Animation, Comedy, Adventure, Family"
498;BlacKkKlansman;"Comedy, Crime, Drama"
499;The Meg;"Action, Science Fiction, Horror"
500;127 Hours;"Adventure, Drama, Thriller"
501;Blood Diamond;"Drama, Thriller, Action"
502;Ralph Breaks the Internet;"Family, Animation, Comedy, Adventure"
503;Valerian and the City of a Thousand Planets;"Adventure, Science Fiction, Action"
504;The Bourne Supremacy;"Action, Drama, Thriller"
505;Ford v Ferrari;"Drama, Action, History"
506;Percy Jackson & the Olympians: The Lightning Thief;"Adventure, Fantasy, Family"
507;Coraline;"Animation, Family, Fantasy"
508;Creed;"Action, Drama"
509;Hot Fuzz;"Crime, Action, Comedy"
510;The Kissing Booth;"Romance, Comedy"
511;Don't Breathe;"Thriller, Horror"
512;Ted 2;"Comedy, Fantasy"
513;The Butterfly Effect;"Science Fiction, Thriller"
514;Hereditary;"Horror, Mystery, Thriller"
515;Snow White and the Seven Dwarfs;"Fantasy, Animation, Family"
516;Midnight in Paris;"Fantasy, Comedy, Romance"
517;Hercules;"Animation, Family, Fantasy, Adventure, Comedy, Romance"
518;American Hustle;"Drama, Crime"
519;Life;"Horror, Science Fiction, Mystery, Thriller"
520;Green Lantern;"Adventure, Action, Thriller, Science Fiction"
521;2 Fast 2 Furious;"Action, Crime, Thriller"
522;Sausage Party;"Adventure, Animation, Comedy, Fantasy"
523;Us;"Horror, Thriller, Mystery"
524;Hugo;"Adventure, Drama, Family"
525;Grease;"Romance, Comedy"
526;Dark Shadows;"Comedy, Fantasy"
527;Shrek Forever After;"Comedy, Adventure, Fantasy, Animation, Family"
528;The Super Mario Bros. Movie;"Animation, Family, Adventure, Fantasy, Comedy"
530;Juno;"Comedy, Drama, Romance"
531;Lost in Translation;"Drama, Romance"
532;Ocean's Twelve;"Thriller, Crime"
533;City of God;"Drama, Crime"
534;Big Fish;"Adventure, Fantasy, Drama"
